type,time
video,2704990.403244
PuffOn,2775058.822846
PuffOff,2775559.404906
PuffOn,2785936.174585
PuffOff,2786436.759775
PuffOn,2796453.905421
PuffOff,2796954.520023
PuffOn,2807067.94035
PuffOff,2807568.529825
PuffOn,2817589.233796
PuffOff,2818089.919384
PuffOn,2828219.300933
PuffOff,2828719.874619
PuffOn,2838803.441436
PuffOff,2839304.029069
PuffOn,2849320.455311
PuffOff,2849821.045246
PuffOn,2859936.162272
PuffOff,2860436.718766
PuffOn,2870559.899316
PuffOff,2871060.072023
PuffOn,2881160.432148
PuffOff,2881661.017782
PuffOn,2891668.168115
PuffOff,2892168.748569
PuffOn,2902200.160408
PuffOff,2902700.318095
PuffOn,2912712.487067
PuffOff,2913213.093847
PuffOn,2923248.143811
PuffOff,2923748.223696
PuffOn,2933764.19997
PuffOff,2934264.774115
PuffOn,2944289.577427
PuffOff,2944790.157246
PuffOn,2954824.21904
PuffOff,2955324.826587
PuffOn,2965338.121725
PuffOff,2965838.772669
PuffOn,2975851.565681
PuffOff,2976352.272464
PuffOn,2986372.435418
PuffOff,2986872.582845
PuffOn,2997872.166751
PuffOff,2998372.73779
PuffOn,3008384.203171
PuffOff,3008884.789015
PuffOn,3018898.723941
PuffOff,3019399.331738
PuffOn,3029428.162412
PuffOff,3029928.751921
PuffOn,3039940.197252
PuffOff,3040440.31022
PuffOn,3050453.571579
PuffOff,3050954.15118
PuffOn,3060964.21679
PuffOff,3061464.82727
PuffOn,3071477.148837
PuffOff,3071977.268166
PuffOn,3081988.478841
PuffOff,3082489.620075
PuffOn,3092503.977297
PuffOff,3093004.174366
PuffOn,3103016.158217
PuffOff,3103516.731995
PuffOn,3113528.610028
PuffOff,3114029.208853
PuffOn,3124036.248012
PuffOff,3124536.855458
PuffOn,3134548.15237
PuffOff,3135048.721642
PuffOn,3145052.152701
PuffOff,3145552.719539
PuffOn,3155565.93387
PuffOff,3156066.529441
PuffOn,3166181.311185
PuffOff,3166681.939118
PuffOn,3176805.515278
PuffOff,3177305.616061
PuffOn,3187316.332148
PuffOff,3187816.924029
PuffOn,3197820.283331
PuffOff,3198320.941871
PuffOn,3208332.189961
PuffOff,3208832.785607
PuffOn,3218850.905463
PuffOff,3219351.53449
PuffOn,3229464.195217
PuffOff,3229964.364723
PuffOn,3240066.239619
PuffOff,3240566.847799
PuffOn,3250652.160227
PuffOff,3251152.744327
PuffOn,3261248.414065
PuffOff,3261749.06251
PuffOn,3271764.162926
PuffOff,3272264.780994
