type,time
video,4293530.356783
PuffOn,4363572.203827
PuffOff,4364072.857305
PuffOn,4374127.005526
PuffOff,4374627.57672
PuffOn,4384640.656024
PuffOff,4385140.813127
PuffOn,4395154.257521
PuffOff,4395654.817363
PuffOn,4405680.317394
PuffOff,4406180.999187
PuffOn,4416276.160507
PuffOff,4416776.731917
PuffOn,4426852.986132
PuffOff,4427353.600821
PuffOn,4437365.903216
PuffOff,4437866.547814
PuffOn,4447876.148819
PuffOff,4448376.722155
PuffOn,4458380.165369
PuffOff,4458880.308657
PuffOn,4468892.202813
PuffOff,4469392.776733
PuffOn,4479404.568028
PuffOff,4479905.186739
PuffOn,4489917.13289
PuffOff,4490417.721349
PuffOn,4500430.400851
PuffOff,4500930.528866
PuffOn,4511028.205258
PuffOff,4511528.774788
PuffOn,4521544.439451
PuffOff,4522045.051729
PuffOn,4532120.28801
PuffOff,4532620.871734
PuffOn,4542633.105571
PuffOff,4543133.821851
PuffOn,4553176.135829
PuffOff,4553676.719926
PuffOn,4563812.184443
PuffOff,4564312.775261
PuffOn,4574416.150535
PuffOff,4574916.307897
PuffOn,4584930.202286
PuffOff,4585430.975741
PuffOn,4595440.194937
PuffOff,4595940.754707
PuffOn,4606012.223234
PuffOff,4606512.826271
PuffOn,4616530.479918
PuffOff,4617031.05021
PuffOn,4627054.244399
PuffOff,4627554.857067
PuffOn,4637589.368035
PuffOff,4638089.984953
PuffOn,4648116.421166
PuffOff,4648617.053199
PuffOn,4658629.648088
PuffOff,4659130.218405
PuffOn,4669140.17749
PuffOff,4669640.744496
PuffOn,4679792.288858
PuffOff,4680292.88481
PuffOn,4690380.218593
PuffOff,4690880.902528
PuffOn,4700892.148736
PuffOff,4701392.288473
PuffOn,4711405.197977
PuffOff,4711905.813801
PuffOn,4721919.64433
PuffOff,4722420.105504
PuffOn,4732435.40762
PuffOff,4732936.046734
PuffOn,4742948.361077
PuffOff,4743448.943315
PuffOn,4753460.22598
PuffOff,4753960.822696
PuffOn,4763975.366842
PuffOff,4764475.47739
PuffOn,4774488.146571
PuffOff,4774988.71607
PuffOn,4785001.926047
PuffOff,4785502.528276
PuffOn,4795516.220048
PuffOff,4796016.846806
PuffOn,4806032.159561
PuffOff,4806532.232537
PuffOn,4816544.233751
PuffOff,4817044.348735
PuffOn,4827056.152106
PuffOff,4827556.230373
PuffOn,4837568.610798
PuffOff,4838069.19025
PuffOn,4848081.028894
PuffOff,4848581.60459
PuffOn,4858594.881593
PuffOff,4859095.503553
