type,time
video,1751751.559024
PuffOn,1821823.35461
PuffOff,1822324.072799
PuffOn,1832371.981399
PuffOff,1832872.568957
PuffOn,1842885.612036
PuffOff,1843386.181257
PuffOn,1853548.651089
PuffOff,1854049.237918
PuffOn,1864240.144856
PuffOff,1864740.715905
PuffOn,1874752.391324
PuffOff,1875253.030091
PuffOn,1885376.247497
PuffOff,1885876.840225
PuffOn,1895945.803272
PuffOff,1896447.07284
PuffOn,1906536.200456
PuffOff,1907036.76705
PuffOn,1917049.050221
PuffOff,1917549.622313
PuffOn,1927678.080401
PuffOff,1928178.686341
PuffOn,1938269.924663
PuffOff,1938770.483842
PuffOn,1949271.920275
PuffOff,1949772.554359
PuffOn,1959924.236399
PuffOff,1960424.838074
PuffOn,1970504.1639
PuffOff,1971004.738241
PuffOn,1981012.149259
PuffOff,1981512.726968
PuffOn,1991576.455231
PuffOff,1992077.050752
PuffOn,2002125.638744
PuffOff,2002626.2498
PuffOn,2012640.409651
PuffOff,2013141.039298
PuffOn,2023148.197834
PuffOff,2023648.805666
PuffOn,2033663.938758
PuffOff,2034164.506329
PuffOn,2044179.257971
PuffOff,2044679.83517
PuffOn,2054759.75623
PuffOff,2055260.085209
PuffOn,2065304.2033
PuffOff,2065804.825606
PuffOn,2075820.197955
PuffOff,2076320.774008
PuffOn,2086332.179345
PuffOff,2086832.744079
PuffOn,2096882.632444
PuffOff,2097383.209632
PuffOn,2107428.239146
PuffOff,2107928.81059
PuffOn,2117972.561462
PuffOff,2118473.193955
PuffOn,2128560.728839
PuffOff,2129061.340943
PuffOn,2139068.253832
PuffOff,2139568.391325
PuffOn,2149583.95209
PuffOff,2150084.208305
PuffOn,2160096.381525
PuffOff,2160596.549648
PuffOn,2170612.112783
PuffOff,2171112.724443
PuffOn,2181126.90225
PuffOff,2181627.116324
PuffOn,2191644.16137
PuffOff,2192144.748648
PuffOn,2202163.301685
PuffOff,2202663.906191
PuffOn,2212760.278983
PuffOff,2213260.868976
PuffOn,2223392.199862
PuffOff,2223892.79227
PuffOn,2233907.675035
PuffOff,2234408.261913
PuffOn,2244422.913761
PuffOff,2244923.546909
PuffOn,2254939.399407
PuffOff,2255440.049359
PuffOn,2265456.326992
PuffOff,2265956.925179
PuffOn,2275968.158636
PuffOff,2276468.74402
PuffOn,2286480.156595
PuffOff,2286980.757974
PuffOn,2296998.942171
PuffOff,2297499.609025
PuffOn,2307514.427217
PuffOff,2308014.997699
PuffOn,2318028.117149
PuffOff,2318528.702997
