time,position,direction
5352557.52176,0,
5352763.836004,-1,L
5353074.405829,-2,L
5353462.140888,-3,L
5355453.227427,-2,R
5355493.433666,-1,R
5355515.652956,0,R
5355543.248334,1,R
5355569.111251,2,R
5355594.704189,3,R
5355639.453951,4,R
5355699.390118,3,L
5355739.796077,2,L
5355869.913391,1,L
5356088.827718,0,L
5356393.846163,-1,L
5357044.958339,-2,L
5357702.69196,-3,L
5358538.239146,-2,R
5358571.398982,-1,R
5358603.323628,0,R
5358709.729187,-1,L
5358782.400436,-2,L
5359037.221033,-3,L
5360141.871125,-4,L
5360223.814105,-3,R
5360250.89836,-2,R
5360272.118865,-1,R
5360311.383725,0,R
5360413.918699,-1,L
5360460.457108,-2,L
5360492.692491,-3,L
5361342.520581,-4,L
5370686.788434,-5,L
5385546.070573,-4,R
5385611.717108,-3,R
5385937.465369,-4,L
5387532.599323,-3,R
5387555.842475,-2,R
5387692.786984,-3,L
5388828.957818,-4,L
5396592.795182,-5,L
5398810.548377,-4,R
5398837.51558,-3,R
5398866.455855,-2,R
5398889.43988,-1,R
5398958.095885,-2,L
5398985.162069,-3,L
5399204.917913,-4,L
5400845.606036,-5,L
5401543.519555,-6,L
5405740.28421,-7,L
5406402.466612,-8,L
5412360.020083,-9,L
5413729.605805,-8,R
5413752.902847,-7,R
5413771.18685,-6,R
5413788.458494,-5,R
5413841.956446,-6,L
5413864.331404,-7,L
5413886.519828,-8,L
5413936.992535,-9,L
5418068.099673,-10,L
5422860.453184,-9,R
5422866.041382,-8,R
5422870.985921,-7,R
5422875.960033,-6,R
5422881.487176,-5,R
5422888.106233,-4,R
5422896.382736,-3,R
5422907.289302,-2,R
5422924.869387,-1,R
5423007.96285,-2,L
5423076.550193,-3,L
5423806.150036,-4,L
5424328.978862,-3,R
5424630.152628,-4,L
5424945.585294,-5,L
5426011.57269,-6,L
5426809.002094,-7,L
5427209.941662,-8,L
5429665.483475,-7,R
5429704.193997,-6,R
5429787.388812,-7,L
5431713.274343,-8,L
5433376.820261,-7,R
5433382.505588,-6,R
5433387.698513,-5,R
5433393.184472,-4,R
5433399.689512,-3,R
5433408.489638,-2,R
5433422.739835,-1,R
5433499.243093,-2,L
5433546.697169,-3,L
5433604.660018,-4,L
5434066.216655,-5,L
5434611.536693,-6,L
5434944.749099,-7,L
5436471.28956,-8,L
5442204.689554,-9,L
5443893.714498,-8,R
5443903.589761,-7,R
5443916.23166,-6,R
5443980.946975,-7,L
5444021.094928,-8,L
5444126.177192,-9,L
5445229.90908,-10,L
5451549.328261,-11,L
5454406.22057,-10,R
5454414.218613,-9,R
5454422.607041,-8,R
5454434.122138,-7,R
5454457.527273,-6,R
5454573.272036,-7,L
5454763.368344,-8,L
5454964.400849,-9,L
5455186.321293,-10,L
5455462.130394,-11,L
5456025.82391,-12,L
5460387.282315,-13,L
5464920.549573,-12,R
5464932.541777,-11,R
5465002.686777,-12,L
5465053.527245,-13,L
5465620.181445,-14,L
5468929.435013,-15,L
5475420.542508,-14,R
5475426.286372,-13,R
5475430.66851,-12,R
5475434.577264,-11,R
5475438.409501,-10,R
5475442.311144,-9,R
5475446.410062,-8,R
5475450.857588,-7,R
5475455.780998,-6,R
5475461.330086,-5,R
5475467.886719,-4,R
5475476.234333,-3,R
5475489.434709,-2,R
5475547.636117,-3,L
5475581.624065,-4,L
5475616.810611,-5,L
5475652.218414,-6,L
5475707.269505,-7,L
5476016.699015,-8,L
5476270.105575,-9,L
5476681.484003,-10,L
5477864.81608,-11,L
5478777.106104,-12,L
5481934.380782,-13,L
5485944.298256,-12,R
5485952.692776,-11,R
5485962.206581,-10,R
5485979.509839,-9,R
5486059.364071,-10,L
5486109.53529,-11,L
5486544.183236,-12,L
5487225.752485,-13,L
5489868.513059,-14,L
5496458.11934,-13,R
5496470.008453,-12,R
5496517.34237,-13,L
5496646.176818,-14,L
5497208.932157,-15,L
5498392.147548,-16,L
5506958.075669,-15,R
5506965.759846,-14,R
5506971.838225,-13,R
5506977.859624,-12,R
5506984.953862,-11,R
5506994.639055,-10,R
5507012.166848,-9,R
5507137.574169,-10,L
5507177.927625,-11,L
5507652.75642,-12,L
5508113.909621,-13,L
5508913.483396,-14,L
5515891.905786,-15,L
5517473.869381,-14,R
5517480.881954,-13,R
5517487.411181,-12,R
5517494.928896,-11,R
5517506.953731,-10,R
5517570.733881,-11,L
5517601.034353,-12,L
5517894.774597,-11,R
5518191.105461,-12,L
5518878.13644,-13,L
5520336.674293,-12,R
5520383.08574,-11,R
5520486.154211,-12,L
5521017.566118,-13,L
5522260.102732,-14,L
5527981.989965,-13,R
5527989.414201,-12,R
5527995.19825,-11,R
5528001.016095,-10,R
5528007.560525,-9,R
5528016.298543,-8,R
5528031.65649,-7,R
5528183.938011,-8,L
5528358.203075,-7,R
5528536.658131,-8,L
5528832.541803,-9,L
5528972.756453,-8,R
5529089.106618,-9,L
5529164.707773,-10,L
5529319.929208,-11,L
5529573.613498,-12,L
5530141.925372,-13,L
5530914.57899,-12,R
5531266.821506,-13,L
5532103.153669,-14,L
5538497.31996,-13,R
5538505.706463,-12,R
5538512.9462,-11,R
5538521.143132,-10,R
5538533.926995,-9,R
5538561.562941,-8,R
5538646.128669,-9,L
5538685.081458,-10,L
5538747.155092,-11,L
5538825.642144,-12,L
5539250.899017,-13,L
5540507.966782,-14,L
5549011.212546,-13,R
5549017.982882,-12,R
5549024.040984,-11,R
5549030.308936,-10,R
5549037.964669,-9,R
5549050.01167,-8,R
5549109.815108,-9,L
5549145.581227,-10,L
5549171.710542,-11,L
5549194.53041,-12,L
5549216.294401,-13,L
5549250.406427,-14,L
5549869.570208,-15,L
5559526.017139,-14,R
5559534.720732,-13,R
5559543.228808,-12,R
5559557.445324,-11,R
5559685.974699,-12,L
5560145.02762,-13,L
5560424.568521,-14,L
5561276.114293,-15,L
5570026.645894,-14,R
5570034.578125,-13,R
5570041.17237,-12,R
5570048.203703,-11,R
5570057.43879,-10,R
5570112.306264,-11,L
5570134.607564,-12,L
5570158.891844,-13,L
5570191.865365,-14,L
5570323.610561,-15,L
5580542.555179,-14,R
5580550.417077,-13,R
5580557.688723,-12,R
5580566.930032,-11,R
5580587.840052,-10,R
5580669.100711,-11,L
5580788.779352,-12,L
5581072.266019,-13,L
5581481.455337,-14,L
5591052.186071,-13,R
5591059.315459,-12,R
5591065.258488,-11,R
5591071.356239,-10,R
5591079.099527,-9,R
5591091.752746,-8,R
5591162.312593,-9,L
5591185.120537,-10,L
5591203.741674,-11,L
5591222.382792,-12,L
5591246.044727,-13,L
5591334.502904,-12,R
5591829.832173,-13,L
5592879.572884,-14,L
5593167.689619,-15,L
5601559.602966,-14,R
5601567.592252,-13,R
5601574.516475,-12,R
5601582.061137,-11,R
5601592.722654,-10,R
5601649.223021,-11,L
5601698.699092,-12,L
5601738.999149,-13,L
5601765.731756,-14,L
5601792.199958,-15,L
5601826.020546,-16,L
5601903.028864,-17,L
5601920.971119,-18,L
5601934.099295,-19,L
5601945.215345,-20,L
5601956.056194,-21,L
5601968.573062,-22,L
5601985.528753,-23,L
5602040.351435,-22,R
5602059.56825,-21,R
5602073.944914,-20,R
5602085.991231,-19,R
5602097.058726,-18,R
5602108.248385,-17,R
5602121.254693,-16,R
5602139.925385,-15,R
5602267.70039,-16,L
5602676.302749,-17,L
5602822.545707,-18,L
5603108.063957,-19,L
5603523.49006,-20,L
5604246.25835,-21,L
5604757.418111,-22,L
5606105.040264,-23,L
5606348.737475,-22,R
5606659.570774,-23,L
5607528.066811,-24,L
5608443.185673,-23,R
5608617.429505,-22,R
5608646.50194,-21,R
5608689.071306,-20,R
5608841.647551,-19,R
5608958.172454,-20,L
5609102.439361,-21,L
5609516.403965,-22,L
5610171.188386,-23,L
5611503.318529,-22,R
5612075.57721,-21,R
5612084.454005,-20,R
5612093.133636,-19,R
5612105.097325,-18,R
5612162.579979,-19,L
5612210.088998,-20,L
5612355.108472,-19,R
5612497.413104,-18,R
5612540.274467,-17,R
5612606.783434,-16,R
5612766.94586,-15,R
5612825.242191,-16,L
5612853.315636,-17,L
5612896.465626,-18,L
5612980.722999,-19,L
5613032.323789,-20,L
5613110.283191,-21,L
5613175.887186,-22,L
5613232.831698,-23,L
5613284.856039,-24,L
5613532.985484,-25,L
5613680.771096,-26,L
5613767.660719,-27,L
5613978.922496,-28,L
5614184.710442,-29,L
5614331.228419,-30,L
5614363.717707,-31,L
5614385.70579,-32,L
5614403.799544,-33,L
5614421.355711,-34,L
5614439.708722,-35,L
5614462.394094,-36,L
5614512.961173,-35,R
5614528.218661,-34,R
5614541.198025,-33,R
5614553.281212,-32,R
5614566.764867,-31,R
5614580.928292,-30,R
5614596.94342,-29,R
5614625.96904,-28,R
5614660.364308,-27,R
5614688.276014,-26,R
5614718.477308,-25,R
5614766.045122,-26,L
5614783.666381,-27,L
5614799.363401,-28,L
5614814.005266,-29,L
5614828.84448,-30,L
5614845.263252,-31,L
5614861.845652,-32,L
5614876.128261,-33,L
5614886.362264,-34,L
5614894.250774,-35,L
5614900.957833,-36,L
5614906.850123,-37,L
5614912.163956,-38,L
5614917.063571,-39,L
5614921.706003,-40,L
5614926.151068,-41,L
5614930.47793,-42,L
5614934.734866,-43,L
5614938.958877,-44,L
5614943.203703,-45,L
5614947.522695,-46,L
5614951.990962,-47,L
5614956.667302,-48,L
5614961.677601,-49,L
5614967.160007,-50,L
5614973.321608,-51,L
5614980.550551,-52,L
5614989.557141,-53,L
5615002.041121,-54,L
5615024.047038,-55,L
5615097.45971,-54,R
5615126.386517,-53,R
5615160.853302,-52,R
5615188.292032,-51,R
5615207.898419,-50,R
5615228.287519,-49,R
5615279.820051,-50,L
5615295.393183,-51,L
5615307.962051,-52,L
5615318.558273,-53,L
5615327.902101,-54,L
5615336.595417,-55,L
5615344.843534,-56,L
5615352.847246,-57,L
5615360.687237,-58,L
5615368.534488,-59,L
5615376.612922,-60,L
5615385.183591,-61,L
5615394.631714,-62,L
5615405.446563,-63,L
5615417.996412,-64,L
5615432.603388,-65,L
5615458.896315,-66,L
5615503.629641,-65,R
5615522.056651,-64,R
5615534.011136,-63,R
5615544.640413,-62,R
5615555.113951,-61,R
5615566.79294,-60,R
5615582.283332,-59,R
5615611.77367,-58,R
5615646.369714,-57,R
5615676.270918,-56,R
5615714.144168,-55,R
5615812.703946,-56,L
5615863.618447,-57,L
5615889.676581,-58,L
5615901.9166,-59,L
5615910.975338,-60,L
5615918.492166,-61,L
5615925.073782,-62,L
5615931.068145,-63,L
5615936.63305,-64,L
5615941.840162,-65,L
5615946.798609,-66,L
5615951.596707,-67,L
5615956.300824,-68,L
5615960.95222,-69,L
5615965.579745,-70,L
5615970.223845,-71,L
5615974.951202,-72,L
5615979.780892,-73,L
5615984.768581,-74,L
5615989.923045,-75,L
5615995.297396,-76,L
5616000.960207,-77,L
5616007.006939,-78,L
5616013.608888,-79,L
5616020.937626,-80,L
5616029.233131,-81,L
5616038.977714,-82,L
5616050.81733,-83,L
5616063.59914,-84,L
5616076.372191,-85,L
5616089.74381,-86,L
5616104.648134,-87,L
5616120.585059,-88,L
5616134.845465,-89,L
5616147.106355,-90,L
5616159.778332,-91,L
5616172.875713,-92,L
5616185.135788,-93,L
5616196.547816,-94,L
5616206.525267,-95,L
5616214.958122,-96,L
5616222.37597,-97,L
5616229.27399,-98,L
5616235.845347,-99,L
5616242.175595,-100,L
5616248.592139,-101,L
5616255.128922,-102,L
5616261.835333,-103,L
5616268.826352,-104,L
5616276.201867,-105,L
5616284.081877,-106,L
5616292.444493,-107,L
5616301.567193,-108,L
5616312.437893,-109,L
5616325.941862,-110,L
5616340.613542,-111,L
5616356.656817,-112,L
5616375.706228,-113,L
5616394.411587,-114,L
5616410.178236,-115,L
5616423.66639,-116,L
5616435.957409,-117,L
5616447.253087,-118,L
5616457.960881,-119,L
5616467.832315,-120,L
5616476.622333,-121,L
5616484.705896,-122,L
5616492.666887,-123,L
5616500.713376,-124,L
5616508.522553,-125,L
5616515.802884,-126,L
5616522.610701,-127,L
5616529.059078,-128,L
5616535.293327,-129,L
5616541.509299,-130,L
5616547.742863,-131,L
5616554.09487,-132,L
5616560.962724,-133,L
5616568.716698,-134,L
5616577.48931,-135,L
5616587.862941,-136,L
5616600.062868,-137,L
5616616.885895,-138,L
5616643.785872,-139,L
5616658.111665,-140,L
5616669.592619,-141,L
5616679.881844,-142,L
5616690.441899,-143,L
5616701.782058,-144,L
5616714.939771,-145,L
5616734.966857,-146,L
5616752.54508,-147,L
5616766.073845,-148,L
5616778.517844,-149,L
5616791.523633,-150,L
5616805.362265,-151,L
5616818.546089,-152,L
5616829.627251,-153,L
5616839.227298,-154,L
5616848.256573,-155,L
5616857.614475,-156,L
5616868.25827,-157,L
5616881.032599,-158,L
5616894.963767,-159,L
5616906.732069,-160,L
5616915.41933,-161,L
5616922.330294,-162,L
5616928.226269,-163,L
5616933.462548,-164,L
5616938.310441,-165,L
5616942.865078,-166,L
5616947.219088,-167,L
5616951.373933,-168,L
5616955.385706,-169,L
5616959.313868,-170,L
5616963.220346,-171,L
5616967.156527,-172,L
5616971.12817,-173,L
5616975.178535,-174,L
5616979.295343,-175,L
5616983.512169,-176,L
5616987.824031,-177,L
5616992.289466,-178,L
5616996.883325,-179,L
5617001.557091,-180,L
5617006.334707,-181,L
5617011.179545,-182,L
5617016.201066,-183,L
5617021.404882,-184,L
5617026.699197,-185,L
5617031.954697,-186,L
5617037.136902,-187,L
5617042.463661,-188,L
5617048.066824,-189,L
5617053.950836,-190,L
5617060.446934,-191,L
5617067.658025,-192,L
5617075.858106,-193,L
5617085.304266,-194,L
5617095.706638,-195,L
5617106.734725,-196,L
5617119.460999,-197,L
5617139.186903,-198,L
5617154.849979,-199,L
5617166.173323,-200,L
5617176.823859,-201,L
5617186.832994,-202,L
5617196.53504,-203,L
5617207.349482,-204,L
5617218.474013,-205,L
5617229.589378,-206,L
5617243.602601,-207,L
5617260.666403,-208,L
5617274.356981,-209,L
5617284.605614,-210,L
5617293.126562,-211,L
5617300.329875,-212,L
5617307.059989,-213,L
5617313.239461,-214,L
5617319.212787,-215,L
5617324.901635,-216,L
5617330.309411,-217,L
