time,position,direction
8742541.753966,0,
8743247.663657,-1,L
8743967.696338,-2,L
8746453.820653,-1,R
8746481.176159,0,R
8746532.474047,-1,L
8746575.522114,-2,L
8752411.999946,-3,L
8754984.299836,-2,R
8755127.883894,-3,L
8757545.020615,-2,R
8757592.928733,-3,L
8757629.296144,-4,L
8760276.489374,-3,R
8760306.092574,-2,R
8760369.92264,-3,L
8760402.111993,-4,L
8762758.193377,-3,R
8763180.336244,-2,R
8763276.742696,-3,L
8769680.735408,-2,R
8770043.672862,-3,L
8773434.979252,-2,R
8773508.170833,-3,L
8774382.704698,-2,R
8774405.814945,-1,R
8774434.497806,0,R
8774500.305572,-1,L
8774554.679426,-2,L
8776344.797853,-1,R
8776390.781276,0,R
8776436.479739,1,R
8776503.078718,2,R
8776524.451227,3,R
8776537.911651,4,R
8776547.88184,5,R
8776555.981072,6,R
8776563.074668,7,R
8776569.529365,8,R
8776575.698213,9,R
8776581.62975,10,R
8776587.44577,11,R
8776593.157976,12,R
8776598.790942,13,R
8776604.324706,14,R
8776609.823748,15,R
8776615.304068,16,R
8776620.827591,17,R
8776626.44641,18,R
8776632.222837,19,R
8776638.145504,20,R
8776644.225927,21,R
8776650.544089,22,R
8776657.081951,23,R
8776663.782774,24,R
8776670.79002,25,R
8776678.294037,26,R
8776686.245455,27,R
8776694.753034,28,R
8776704.269914,29,R
8776715.101093,30,R
8776727.235107,31,R
8776743.372146,32,R
8776764.733211,33,R
8776782.067308,34,R
8776798.104403,35,R
8776835.092309,34,L
8776851.807821,33,L
8776864.975434,32,L
8776878.872574,31,L
8776895.840935,30,L
8776957.063704,31,R
8776978.719395,32,R
8777059.425419,33,R
8777191.570223,34,R
8777213.936794,35,R
8777273.16405,34,L
8777289.889674,33,L
8777308.454533,32,L
8777369.749616,33,R
8777398.452144,34,R
8777655.079812,35,R
8777673.612839,36,R
8777688.719705,37,R
8777777.345518,36,L
8777792.520531,35,L
8777804.934728,34,L
8777817.845584,33,L
8777831.201342,32,L
8777846.366689,31,L
8777868.93148,30,L
8778039.474543,31,R
8778063.744183,32,R
8778075.182021,33,R
8778085.665667,34,R
8778097.812718,35,R
8778121.935971,36,R
8778163.277267,35,L
8778176.114199,34,L
8778186.541197,33,L
8778195.997431,32,L
8778204.84269,31,L
8778213.869114,30,L
8778223.392735,29,L
8778234.387467,28,L
8778250.766447,27,L
8778314.699459,28,R
8778358.802813,29,R
8778452.543266,28,L
8778513.066414,29,R
8778526.155028,30,R
8778536.851153,31,R
8778546.637345,32,R
8778556.251891,33,R
8778568.127835,34,R
8778606.928959,33,L
8778624.364388,32,L
8778637.592593,31,L
8778651.169052,30,L
8778666.598229,29,L
8778687.451819,28,L
8778732.667492,27,L
8778789.017767,28,R
8778822.584623,29,R
8778954.38071,28,L
8778974.854953,27,L
8778996.851844,26,L
8779049.966381,27,R
8779064.926027,28,R
8779080.20002,29,R
8779100.038309,30,R
8779147.194921,29,L
8779163.684621,28,L
8779179.642402,27,L
8779196.259361,26,L
8779212.674784,25,L
8779227.653541,24,L
8779241.619236,23,L
8779257.245855,22,L
8779300.742679,23,R
8779313.010729,24,R
8779321.690916,25,R
8779329.092675,26,R
8779335.901386,27,R
8779342.487563,28,R
8779349.381939,29,R
8779357.505078,30,R
8779369.376207,31,R
8779423.180365,30,L
8779436.041833,29,L
8779447.124528,28,L
8779457.980058,27,L
8779469.514858,26,L
8779480.964659,25,L
8779491.510008,24,L
8779501.232552,23,L
8779510.562898,22,L
8779519.702543,21,L
8779528.909687,20,L
8779538.347328,19,L
8779548.191593,18,L
8779558.555204,17,L
8779569.669268,16,L
8779582.307221,15,L
8779597.331384,14,L
8779614.019971,13,L
8779631.736286,12,L
8779654.746145,11,L
8779678.357701,10,L
8779695.084621,9,L
8779708.236215,8,L
