time,position,direction
6513487.590536,0,
6515076.566049,-1,L
6515294.273518,0,R
6515317.938266,1,R
6515389.39682,0,L
6515418.373083,-1,L
6515983.406951,0,R
6516017.028031,1,R
6516039.066754,2,R
6516122.312255,1,L
6516178.543146,0,L
6516354.72626,-1,L
6516742.360502,0,R
6516822.772951,-1,L
6516854.177065,-2,L
6518091.029259,-3,L
6518371.983321,-2,R
6518401.935798,-1,R
6518519.596335,-2,L
6518562.718564,-3,L
6519108.367308,-4,L
6519317.211617,-3,R
6519419.213031,-4,L
6519460.98627,-5,L
6521039.376338,-4,R
6521063.613155,-3,R
6521092.595565,-2,R
6521188.78991,-3,L
6521222.52471,-4,L
6521889.507951,-5,L
6522244.889274,-4,R
6522278.408112,-3,R
6522371.06965,-4,L
6522602.810429,-5,L
6523766.910909,-4,R
6523851.197935,-5,L
6523891.881015,-6,L
6525237.578677,-5,R
6525264.276437,-4,R
6525292.736462,-3,R
6525335.145843,-2,R
6525386.950171,-3,L
6525419.548127,-4,L
6525458.294814,-5,L
6526566.967341,-6,L
6528107.373109,-5,R
6528128.786612,-4,R
6528181.63545,-5,L
6528209.070796,-6,L
6529795.244032,-5,R
6529814.235905,-4,R
6529832.785616,-3,R
6529860.731162,-2,R
6529902.503917,-3,L
6529925.007912,-4,L
6529954.439353,-5,L
6530353.955914,-4,R
6530381.235557,-3,R
6530401.498606,-2,R
6530418.716771,-1,R
6530466.706497,-2,L
6530487.306988,-3,L
6530505.880661,-4,L
6530531.053302,-5,L
6530969.366232,-4,R
6531048.646182,-5,L
6531252.850844,-6,L
6531535.586775,-5,R
6531556.0841,-4,R
6531569.379425,-3,R
6531582.747934,-2,R
6531599.99895,-1,R
6531650.304399,-2,L
6531665.491505,-3,L
6531680.507372,-4,L
6531699.375005,-5,L
6531802.805807,-6,L
6531869.457983,-7,L
6531886.938294,-8,L
6531896.16352,-9,L
6531903.408612,-10,L
6531909.681435,-11,L
6531915.383224,-12,L
6531920.751128,-13,L
6531925.923255,-14,L
6531931.010975,-15,L
6531936.125455,-16,L
6531941.365581,-17,L
6531946.876632,-18,L
6531952.607884,-19,L
6531958.404284,-20,L
6531964.361961,-21,L
6531970.59308,-22,L
6531977.205807,-23,L
6531984.32003,-24,L
6531991.941213,-25,L
6531999.857375,-26,L
6532008.030997,-27,L
6532016.709783,-28,L
6532026.406746,-29,L
6532037.280125,-30,L
6532050.060565,-31,L
6532068.173574,-32,L
6532147.806299,-33,L
6532166.245509,-34,L
6532178.609674,-35,L
6532189.076112,-36,L
6532198.575744,-37,L
6532207.205215,-38,L
6532215.235394,-39,L
6532222.747688,-40,L
6532229.78619,-41,L
6532236.514361,-42,L
6532242.991848,-43,L
6532249.203782,-44,L
6532255.218292,-45,L
6532261.120339,-46,L
6532266.922128,-47,L
6532272.633214,-48,L
6532278.318448,-49,L
6532284.104237,-50,L
6532289.987878,-51,L
6532296.055035,-52,L
6532302.127618,-53,L
6532308.176776,-54,L
6532314.080045,-55,L
6532319.737761,-56,L
6532325.19209,-57,L
6532330.480661,-58,L
6532335.590696,-59,L
6532340.547972,-60,L
6532345.390065,-61,L
6532350.193269,-62,L
6532354.946529,-63,L
6532359.773214,-64,L
6532364.659732,-65,L
6532369.681898,-66,L
6532374.875284,-67,L
6532380.260354,-68,L
6532385.888996,-69,L
6532391.795358,-70,L
6532398.031922,-71,L
6532404.660852,-72,L
6532411.876612,-73,L
6532420.048587,-74,L
6532430.194602,-75,L
6532452.394061,-76,L
6532535.778313,-77,L
6532546.611637,-78,L
6532555.622013,-79,L
6532563.998856,-80,L
6532572.374625,-81,L
6532581.549036,-82,L
6532593.386205,-83,L
6532612.115655,-84,L
6532656.727128,-85,L
6532683.772606,-86,L
6532698.234607,-87,L
6532711.287822,-88,L
6532723.776004,-89,L
6532736.084429,-90,L
6532748.278132,-91,L
6532761.137163,-92,L
6532776.67634,-93,L
6532798.379674,-94,L
6532829.311104,-95,L
6532911.299903,-96,L
6532930.149666,-97,L
6532943.155604,-98,L
6532954.2105,-99,L
6532964.240516,-100,L
6532973.301965,-101,L
6532981.68429,-102,L
6532989.384157,-103,L
6532996.518121,-104,L
6533003.153311,-105,L
6533009.353819,-106,L
6533015.192256,-107,L
6533020.797083,-108,L
6533026.098061,-109,L
6533031.202578,-110,L
6533036.127114,-111,L
6533040.843004,-112,L
6533045.449117,-113,L
6533049.965767,-114,L
6533054.420604,-115,L
6533058.764144,-116,L
6533063.041834,-117,L
6533067.255765,-118,L
6533071.380585,-119,L
6533075.387869,-120,L
6533079.332894,-121,L
6533083.223161,-122,L
6533087.067613,-123,L
6533090.886528,-124,L
6533094.625259,-125,L
6533098.357175,-126,L
6533102.056628,-127,L
6533105.729007,-128,L
6533109.388072,-129,L
6533113.076395,-130,L
6533116.834163,-131,L
6533120.717541,-132,L
6533124.780158,-133,L
6533129.067384,-134,L
6533133.591664,-135,L
6533138.41959,-136,L
6533143.644939,-137,L
6533149.485506,-138,L
6533156.36049,-139,L
6533165.001405,-140,L
6533177.481625,-141,L
6533196.147889,-142,L
6533212.595745,-143,L
6533223.501069,-144,L
6533231.575414,-145,L
6533238.409547,-146,L
6533244.487149,-147,L
6533250.039958,-148,L
6533254.950624,-149,L
6533259.716865,-150,L
6533264.236035,-151,L
6533268.695815,-152,L
6533272.984097,-153,L
6533277.190454,-154,L
6533281.40194,-155,L
6533285.590927,-156,L
6533289.729784,-157,L
6533293.959751,-158,L
6533298.114979,-159,L
6533302.550167,-160,L
6533306.902245,-161,L
6533311.331841,-162,L
6533315.963583,-163,L
6533320.804472,-164,L
6533325.844156,-165,L
6533331.130948,-166,L
6533336.73198,-167,L
6533342.7356,-168,L
6533349.276958,-169,L
6533356.547865,-170,L
6533364.801542,-171,L
6533374.300433,-172,L
6533384.841037,-173,L
6533396.898723,-174,L
6533410.985319,-175,L
6533426.475644,-176,L
6533440.515444,-177,L
6533452.754147,-178,L
6533464.254615,-179,L
6533474.897144,-180,L
6533484.348127,-181,L
6533492.555713,-182,L
6533499.835361,-183,L
6533506.358977,-184,L
6533512.260173,-185,L
6533517.763149,-186,L
6533522.91111,-187,L
6533527.833554,-188,L
6533532.58474,-189,L
6533537.183019,-190,L
6533541.633263,-191,L
6533545.939545,-192,L
6533550.116087,-193,L
6533554.158019,-194,L
6533558.136655,-195,L
6533562.033199,-196,L
6533565.843466,-197,L
6533569.573993,-198,L
6533573.227391,-199,L
6533576.81366,-200,L
6533580.354374,-201,L
6533583.845329,-202,L
6533587.290265,-203,L
