type,time
video,11564910.565901
PuffOn,11634976.186753
PuffOff,11635476.34484
PuffOn,11645488.230394
PuffOff,11645988.37728
PuffOn,11655996.187071
PuffOff,11656496.774139
PuffOn,11666504.137217
PuffOff,11667004.270014
PuffOn,11677088.181785
PuffOff,11677588.786134
PuffOn,11687644.932747
PuffOff,11688145.508802
PuffOn,11698200.177119
PuffOff,11698700.278071
PuffOn,11708712.348824
PuffOff,11709213.047918
PuffOn,11719225.062524
PuffOff,11719725.619807
PuffOn,11729789.514591
PuffOff,11730289.633826
PuffOn,11740338.340024
PuffOff,11740838.988014
PuffOn,11750932.384455
PuffOff,11751432.954781
PuffOn,11761503.844367
PuffOff,11762004.56497
PuffOn,11772032.225977
PuffOff,11772532.869749
PuffOn,11782536.218605
PuffOff,11783036.836083
PuffOn,11793040.152249
PuffOff,11793540.728822
PuffOn,11803552.374793
PuffOff,11804052.962386
PuffOn,11814064.327521
PuffOff,11814564.959856
PuffOn,11824577.927687
PuffOff,11825078.549894
PuffOn,11835090.305417
PuffOff,11835590.921384
PuffOn,11845603.04084
PuffOff,11846103.648605
PuffOn,11856152.234632
PuffOff,11856652.837824
PuffOn,11866684.217096
PuffOff,11867184.355295
PuffOn,11877240.2657
PuffOff,11877740.848692
PuffOn,11887748.232237
PuffOff,11888248.822693
PuffOn,11898260.223032
PuffOff,11898760.887711
PuffOn,11908772.385556
PuffOff,11909272.997033
PuffOn,11919284.144222
PuffOff,11919784.227502
PuffOn,11929800.246363
PuffOff,11930300.436236
PuffOn,11940314.512255
PuffOff,11940815.135235
PuffOn,11950829.871195
PuffOff,11951330.486121
PuffOn,11961342.240231
PuffOff,11961842.817474
PuffOn,11971854.249443
PuffOff,11972354.871556
PuffOn,11982369.539233
PuffOff,11982870.1062
PuffOn,11992884.151146
PuffOff,11993384.299822
PuffOn,12003446.369943
PuffOff,12003946.986115
PuffOn,12018144.205207
PuffOff,12018644.388071
PuffOn,12028652.375897
PuffOff,12029152.998979
PuffOn,12039165.103074
PuffOff,12039665.716509
PuffOn,12049677.843956
PuffOff,12050178.468762
PuffOn,12060246.61981
PuffOff,12060747.201858
PuffOn,12070792.18106
PuffOff,12071292.754979
PuffOn,12081318.345236
PuffOff,12081818.915656
PuffOn,12091848.295461
PuffOff,12092348.900308
PuffOn,12102364.22044
PuffOff,12102864.860009
PuffOn,12112897.059057
PuffOff,12113397.647832
PuffOn,12123424.216387
PuffOff,12123924.8052
PuffOn,12133940.38549
PuffOff,12134440.978248
