type,time
video,9221990.409532
PuffOn,9292060.205852
PuffOff,9292560.807016
PuffOn,9304364.216261
PuffOff,9304864.79267
PuffOn,9315072.14924
PuffOff,9315572.225937
PuffOn,9325830.583382
PuffOff,9326330.764397
PuffOn,9336584.209276
PuffOff,9337084.786883
PuffOn,9347369.090575
PuffOff,9347869.647852
PuffOn,9358089.687149
PuffOff,9358590.639407
PuffOn,9368873.27581
PuffOff,9369373.946538
PuffOn,9379565.968885
PuffOff,9380066.090215
PuffOn,9390336.385484
PuffOff,9390836.954127
PuffOn,9401020.373014
PuffOff,9401521.046289
PuffOn,9411666.507501
PuffOff,9412167.145058
PuffOn,9422487.325253
PuffOff,9422987.947721
PuffOn,9433199.263395
PuffOff,9433699.823256
PuffOn,9443929.061954
PuffOff,9444429.616651
PuffOn,9454756.45519
PuffOff,9455257.04052
PuffOn,9465540.933824
PuffOff,9466041.581544
PuffOn,9476389.084563
PuffOff,9476889.638307
PuffOn,9487074.630841
PuffOff,9487575.193235
PuffOn,9497848.148941
PuffOff,9498348.720764
PuffOn,9508584.170776
PuffOff,9509084.727065
PuffOn,9519372.139551
PuffOff,9519872.71438
PuffOn,9530120.235864
PuffOff,9530620.811344
PuffOn,9540870.11064
PuffOff,9541370.178665
PuffOn,9551452.087427
PuffOff,9551952.7273
PuffOn,9562088.858857
PuffOff,9562589.537547
PuffOn,9572825.552448
PuffOff,9573326.127493
PuffOn,9583568.277576
PuffOff,9584068.388148
PuffOn,9594257.82748
PuffOff,9594758.423733
PuffOn,9605029.1384
PuffOff,9605529.717248
PuffOn,9615697.605089
PuffOff,9616198.174847
PuffOn,9626363.194656
PuffOff,9626863.781694
PuffOn,9637088.213845
PuffOff,9637588.78307
PuffOn,9647776.395077
PuffOff,9648276.959194
PuffOn,9658397.371423
PuffOff,9658897.941541
PuffOn,9669120.390325
PuffOff,9669620.957187
PuffOn,9679784.432096
PuffOff,9680284.999552
PuffOn,9690337.931585
PuffOff,9690838.513302
PuffOn,9700918.792541
PuffOff,9701419.417741
PuffOn,9711628.42356
PuffOff,9712129.024873
PuffOn,9722244.739169
PuffOff,9722745.308059
PuffOn,9732869.821272
PuffOff,9733370.420145
PuffOn,9743437.340054
PuffOff,9743937.93065
PuffOn,9753950.414903
PuffOff,9754451.025427
PuffOn,9764600.181704
PuffOff,9765100.258383
PuffOn,9775280.337136
PuffOff,9775780.947885
PuffOn,9785908.182387
PuffOff,9786408.760805
PuffOn,9796564.424217
PuffOff,9797064.990878
