type,time
video,3619736.841451
PuffOn,3689804.233106
PuffOff,3690304.871266
PuffOn,3700752.230564
PuffOff,3701252.845815
PuffOn,3711363.171335
PuffOff,3711863.750435
PuffOn,3721956.934007
PuffOff,3722457.550307
PuffOn,3732600.249998
PuffOff,3733100.823852
PuffOn,3743117.529609
PuffOff,3743617.616133
PuffOn,3753700.860981
PuffOff,3754201.44346
PuffOn,3764240.352789
PuffOff,3764740.95908
PuffOn,3774752.229384
PuffOff,3775252.814673
PuffOn,3785260.159162
PuffOff,3785760.289601
PuffOn,3795773.943306
PuffOff,3796274.638126
PuffOn,3806288.297211
PuffOff,3806788.427425
PuffOn,3816801.899358
PuffOff,3817302.504768
PuffOn,3827316.226897
PuffOff,3827816.820119
PuffOn,3837829.45133
PuffOff,3838330.265548
PuffOn,3848344.179722
PuffOff,3848844.777496
PuffOn,3858858.19358
PuffOff,3859358.763556
PuffOn,3869371.21502
PuffOff,3869871.822494
PuffOn,3879884.310419
PuffOff,3880384.91165
PuffOn,3890396.224329
PuffOff,3890896.810503
PuffOn,3900909.274614
PuffOff,3901409.980654
PuffOn,3911422.860058
PuffOff,3911923.431117
PuffOn,3921935.645085
PuffOff,3922436.250901
PuffOn,3932448.201264
PuffOff,3932948.766764
PuffOn,3942961.175236
PuffOff,3943461.774938
PuffOn,3953474.442707
PuffOff,3953975.11774
PuffOn,3963984.17087
PuffOff,3964484.770272
PuffOn,3974499.775561
PuffOff,3975000.362258
PuffOn,3985012.884323
PuffOff,3985513.502666
PuffOn,3995526.47238
PuffOff,3996027.057018
PuffOn,4006052.182432
PuffOff,4006552.749328
PuffOn,4016679.629809
PuffOff,4017180.276259
PuffOn,4027319.538919
PuffOff,4027820.197145
PuffOn,4037932.174426
PuffOff,4038432.763095
PuffOn,4048548.535342
PuffOff,4049049.25586
PuffOn,4059064.669226
PuffOff,4059565.271133
PuffOn,4069736.221944
PuffOff,4070236.826202
PuffOn,4080340.325843
PuffOff,4080840.469753
PuffOn,4090985.509294
PuffOff,4091486.078383
PuffOn,4101544.245611
PuffOff,4102044.331779
PuffOn,4112200.223621
PuffOff,4112700.829875
PuffOn,4122792.172377
PuffOff,4123292.744478
PuffOn,4133306.06627
PuffOff,4133806.63692
PuffOn,4143860.185494
PuffOff,4144360.779304
PuffOn,4154373.948732
PuffOff,4154874.514089
PuffOn,4164912.379178
PuffOff,4165412.995249
PuffOn,4175464.199048
PuffOff,4175964.763352
PuffOn,4185977.492877
PuffOff,4186477.545291
