type,time
video,5352759.997972
PuffOn,5422830.702713
PuffOff,5423331.331502
PuffOn,5433348.166407
PuffOff,5433848.732803
PuffOn,5443861.21387
PuffOff,5444361.796686
PuffOn,5454372.145718
PuffOff,5454872.713547
PuffOn,5464884.242911
PuffOff,5465384.815622
PuffOn,5475396.5956
PuffOff,5475897.276564
PuffOn,5485910.312141
PuffOff,5486410.933949
PuffOn,5496420.36645
PuffOff,5496920.974604
PuffOn,5506932.527184
PuffOff,5507433.101906
PuffOn,5517444.17131
PuffOff,5517944.813802
PuffOn,5527956.18637
PuffOff,5528456.755966
PuffOn,5538469.235296
PuffOff,5538969.804533
PuffOn,5548982.599851
PuffOff,5549483.200838
PuffOn,5559495.212151
PuffOff,5559995.829316
PuffOn,5570000.165619
PuffOff,5570500.745961
PuffOn,5580512.82342
PuffOff,5581013.00859
PuffOn,5591024.726676
PuffOff,5591525.347629
PuffOn,5601532.309883
PuffOff,5602032.956364
PuffOn,5612046.21063
PuffOff,5612546.832158
PuffOn,5622552.144395
PuffOff,5623052.702044
PuffOn,5633148.213998
PuffOff,5633648.370882
PuffOn,5643751.524233
PuffOff,5644252.152436
PuffOn,5654266.414152
PuffOff,5654766.983624
PuffOn,5664779.708008
PuffOff,5665280.334728
PuffOn,5675292.210602
PuffOff,5675792.319003
PuffOn,5685800.22836
PuffOff,5686300.837448
PuffOn,5696317.568188
PuffOff,5696817.742474
PuffOn,5706830.05451
PuffOff,5707330.679873
PuffOn,5717340.200277
PuffOff,5717840.368986
PuffOn,5727852.193738
PuffOff,5728352.770283
PuffOn,5738365.008938
PuffOff,5738865.086811
PuffOn,5748877.913919
PuffOff,5749378.785031
PuffOn,5759390.720049
PuffOff,5759890.832306
PuffOn,5769900.2241
PuffOff,5770400.794526
PuffOn,5780412.774892
PuffOff,5780913.381028
PuffOn,5790925.242343
PuffOff,5791425.831133
PuffOn,5801437.593562
PuffOff,5801938.163322
PuffOn,5811948.365653
PuffOff,5812448.964993
PuffOn,5822460.348678
PuffOff,5822961.003357
PuffOn,5832973.753151
PuffOff,5833474.500168
PuffOn,5843484.180502
PuffOff,5843984.319773
PuffOn,5853995.568931
PuffOff,5854496.066592
PuffOn,5864507.4974
PuffOff,5865008.105733
PuffOn,5875016.212003
PuffOff,5875516.815675
PuffOn,5885528.285169
PuffOff,5886028.851846
PuffOn,5896040.293098
PuffOff,5896540.905761
PuffOn,5906552.347804
PuffOff,5907052.945806
PuffOn,5917064.296287
PuffOff,5917564.899739
