type,time
video,8742755.227152
PuffOn,8812828.272465
PuffOff,8813328.865161
PuffOn,8823474.869134
PuffOff,8823975.436938
PuffOn,8834098.010395
PuffOff,8834598.640417
PuffOn,8844740.196307
PuffOff,8845240.338924
PuffOn,8855369.886144
PuffOff,8855870.483046
PuffOn,8865984.146951
PuffOff,8866484.294577
PuffOn,8876600.161604
PuffOff,8877100.299503
PuffOn,8887118.493185
PuffOff,8887618.57769
PuffOn,8897630.924021
PuffOff,8898131.529385
PuffOn,8908140.259925
PuffOff,8908640.364678
PuffOn,8918652.381503
PuffOff,8919153.055021
PuffOn,8929164.24877
PuffOff,8929664.945614
PuffOn,8939672.262151
PuffOff,8940172.890435
PuffOn,8950180.210616
PuffOff,8950680.784542
PuffOn,8960688.183028
PuffOff,8961188.756298
PuffOn,8971300.266072
PuffOff,8971800.864649
PuffOn,8981856.157789
PuffOff,8982356.279365
PuffOn,8992418.04135
PuffOff,8992918.695246
PuffOn,9002931.282129
PuffOff,9003431.918572
PuffOn,9013444.240427
PuffOff,9013944.811826
PuffOn,9023952.170945
PuffOff,9024452.744946
PuffOn,9034464.287531
PuffOff,9034964.892117
PuffOn,9044976.154365
PuffOff,9045476.259298
PuffOn,9055488.446043
PuffOff,9055989.0285
PuffOn,9066069.084831
PuffOff,9066569.177673
PuffOn,9076598.119724
PuffOff,9077098.727884
PuffOn,9087108.155125
PuffOff,9087608.732053
PuffOn,9097620.024524
PuffOff,9098120.681701
PuffOn,9108128.303778
PuffOff,9108628.451821
PuffOn,9118636.262548
PuffOff,9119136.947816
PuffOn,9129148.786587
PuffOff,9129649.049461
PuffOn,9139656.173544
PuffOff,9140156.280687
PuffOn,9150164.639564
PuffOff,9150665.25119
PuffOn,9160672.32672
PuffOff,9161173.043371
PuffOn,9171184.118583
PuffOff,9171684.744094
PuffOn,9181695.94414
PuffOff,9182196.660843
PuffOn,9192204.155191
PuffOff,9192704.283686
PuffOn,9202757.319999
PuffOff,9203257.983754
PuffOn,9213268.202745
PuffOff,9213768.81436
PuffOn,9223781.308982
PuffOff,9224281.471127
PuffOn,9234292.246849
PuffOff,9234792.878089
PuffOn,9244804.063532
PuffOff,9245304.638778
PuffOn,9255315.767445
PuffOff,9255816.343513
PuffOn,9265827.519641
PuffOff,9266328.086974
PuffOn,9276336.201021
PuffOff,9276836.766361
PuffOn,9286865.66055
PuffOff,9287366.218451
PuffOn,9297444.244397
PuffOff,9297944.434031
PuffOn,9307976.377776
PuffOff,9308477.044003
