type,time
video,6513685.512399
PuffOn,6583754.367526
PuffOff,6584254.938023
PuffOn,6594341.167693
PuffOff,6594841.760717
PuffOn,6604935.650895
PuffOff,6605436.125093
PuffOn,6615472.153473
PuffOff,6615972.722069
PuffOn,6626020.911819
PuffOff,6626521.486516
PuffOn,6636558.506024
PuffOff,6637059.19036
PuffOn,6647072.714041
PuffOff,6647573.314443
PuffOn,6661045.376003
PuffOff,6661546.019555
PuffOn,6671558.301786
PuffOff,6672058.88822
PuffOn,6682072.94269
PuffOff,6682573.521063
PuffOn,6692588.204903
PuffOff,6693088.779806
PuffOn,6703101.884119
PuffOff,6703602.454925
PuffOn,6713616.183202
PuffOff,6714116.781391
PuffOn,6724130.816219
PuffOff,6724630.968778
PuffOn,6734644.220527
PuffOff,6735144.796041
PuffOn,6745157.845956
PuffOff,6745658.518947
PuffOn,6755664.149398
PuffOff,6756164.74922
PuffOn,6766176.197506
PuffOff,6766676.278145
PuffOn,6776684.159247
PuffOff,6777184.723045
PuffOn,6787287.571112
PuffOff,6787788.151705
PuffOn,6797820.356068
PuffOff,6798320.985677
PuffOn,6808344.204837
PuffOff,6808844.786335
PuffOn,6818859.723163
PuffOff,6819360.3324
PuffOn,6829388.406489
PuffOff,6829888.509287
PuffOn,6839959.692426
PuffOff,6840460.047962
PuffOn,6850547.889396
PuffOff,6851048.116379
PuffOn,6861104.144003
PuffOff,6861604.707853
PuffOn,6871640.994363
PuffOff,6872141.578696
PuffOn,6882160.075175
PuffOff,6882660.713121
PuffOn,6892672.695992
PuffOff,6893173.256014
PuffOn,6903208.391046
PuffOff,6903709.055791
PuffOn,6913792.178367
PuffOff,6914292.739004
PuffOn,6924417.358576
PuffOff,6924917.466684
PuffOn,6934976.2728
PuffOff,6935476.915665
PuffOn,6945513.530742
PuffOff,6946014.104816
PuffOn,6956027.659165
PuffOff,6956528.229372
PuffOn,6966548.15026
PuffOff,6967048.706712
PuffOn,6977103.586317
PuffOff,6977604.190773
PuffOn,6987644.279109
PuffOff,6988144.858033
PuffOn,6998208.219632
PuffOff,6998708.794079
PuffOn,7008736.248716
PuffOff,7009236.374228
PuffOn,7019371.483937
PuffOff,7019872.046747
PuffOn,7029932.285269
PuffOff,7030432.881066
PuffOn,7040460.15919
PuffOff,7040960.734531
PuffOn,7050992.221016
PuffOff,7051492.816548
PuffOn,7061500.165434
PuffOff,7062000.288477
PuffOn,7072020.180709
PuffOff,7072520.754606
PuffOn,7082533.246143
PuffOff,7083033.863065
