type,time
video,7438485.648195
PuffOn,7508556.217083
PuffOff,7509056.811991
PuffOn,7519372.315659
PuffOff,7519872.977358
PuffOn,7529985.072246
PuffOff,7530485.639237
PuffOn,7540562.776727
PuffOff,7541062.935273
PuffOn,7551100.575007
PuffOff,7551600.66942
PuffOn,7561636.462342
PuffOff,7562137.039485
PuffOn,7572196.746161
PuffOff,7572697.324022
PuffOn,7582796.20546
PuffOff,7583296.774595
PuffOn,7593351.654647
PuffOff,7593852.338925
PuffOn,7603864.294343
PuffOff,7604364.901636
PuffOn,7614376.281867
PuffOff,7614876.869305
PuffOn,7624944.212221
PuffOff,7625444.383473
PuffOn,7635508.239069
PuffOff,7636008.932368
PuffOn,7646059.710338
PuffOff,7646560.277356
PuffOn,7656596.794364
PuffOff,7657097.364786
PuffOn,7667112.169874
PuffOff,7667612.762848
PuffOn,7677626.274878
PuffOff,7678126.854477
PuffOn,7688140.221123
PuffOff,7688640.800405
PuffOn,7698657.452002
PuffOff,7699158.017984
PuffOn,7709226.781056
PuffOff,7709727.358257
PuffOn,7719769.821392
PuffOff,7720270.392478
PuffOn,7730287.140004
PuffOff,7730787.27961
PuffOn,7740832.188515
PuffOff,7741332.77841
PuffOn,7751389.25726
PuffOff,7751889.885095
PuffOn,7761970.009133
PuffOff,7762470.575781
PuffOn,7772497.876354
PuffOff,7772998.447999
PuffOn,7783015.1357
PuffOff,7783515.803804
PuffOn,7793560.149821
PuffOff,7794060.21954
PuffOn,7804091.673692
PuffOff,7804592.248032
PuffOn,7814720.206921
PuffOff,7815220.774906
PuffOn,7825234.797763
PuffOff,7825734.957417
PuffOn,7835784.417271
PuffOff,7836284.998047
PuffOn,7846360.192668
PuffOff,7846860.262391
PuffOn,7856908.169028
PuffOff,7857408.751911
PuffOn,7867424.946353
PuffOff,7867925.519622
PuffOn,7877967.431928
PuffOff,7878468.123267
PuffOn,7888508.159507
PuffOff,7889008.223462
PuffOn,7899056.9141
PuffOff,7899557.572213
PuffOn,7909680.115703
PuffOff,7910180.693555
PuffOn,7920224.249379
PuffOff,7920724.840617
PuffOn,7930760.187336
PuffOff,7931260.792924
PuffOn,7941300.401906
PuffOff,7941800.534441
PuffOn,7951816.235414
PuffOff,7952316.847071
PuffOn,7962329.455294
PuffOff,7962830.033062
PuffOn,7972896.358837
PuffOff,7973396.942436
PuffOn,7983436.882824
PuffOff,7983937.480346
PuffOn,7993976.460242
PuffOff,7994477.148224
PuffOn,8004496.274239
PuffOff,8004996.874646
