type,time
video,9629538.63983
PuffOn,9699610.626269
PuffOff,9700111.232665
PuffOn,9710280.337924
PuffOff,9710780.945471
PuffOn,9720795.276669
PuffOff,9721295.853886
PuffOn,9731307.260983
PuffOff,9731807.454114
PuffOn,9741819.700549
PuffOff,9742320.269011
PuffOn,9752334.239457
PuffOff,9752834.836829
PuffOn,9762848.268848
PuffOff,9763348.840871
PuffOn,9773360.399329
PuffOff,9773861.041834
PuffOn,9783874.877998
PuffOff,9784375.450933
PuffOn,9794386.910743
PuffOff,9794887.503273
PuffOn,9804896.578839
PuffOff,9805396.739431
PuffOn,9815408.70049
PuffOff,9815909.273747
PuffOn,9825920.947833
PuffOff,9826421.70383
PuffOn,9836434.668037
PuffOff,9836934.827395
PuffOn,9846946.066402
PuffOff,9847446.191355
PuffOn,9857500.153463
PuffOff,9858000.720728
PuffOn,9868038.076228
PuffOff,9868538.716863
PuffOn,9878548.343545
PuffOff,9879048.938683
PuffOn,9889062.366286
PuffOff,9889562.994592
PuffOn,9899574.626029
PuffOff,9900075.259949
PuffOn,9910103.858196
PuffOff,9910604.085511
PuffOn,9920641.1377
PuffOff,9921141.28724
PuffOn,9931180.140092
PuffOff,9931680.31354
PuffOn,9941691.884378
PuffOff,9942192.466157
PuffOn,9952200.240182
PuffOff,9952700.84037
PuffOn,9962712.021204
PuffOff,9963212.594153
PuffOn,9973223.707965
PuffOff,9973724.047936
PuffOn,9983732.158924
PuffOff,9984232.730061
PuffOn,9994243.736825
PuffOff,9994744.357426
PuffOn,10004752.242866
PuffOff,10005252.855821
PuffOn,10015265.371183
PuffOff,10015765.950843
PuffOn,10025777.515579
PuffOff,10026278.102592
PuffOn,10036289.465191
PuffOff,10036790.026706
PuffOn,10046804.216727
PuffOff,10047304.797614
PuffOn,10057356.499672
PuffOff,10057857.084171
PuffOn,10067868.217243
PuffOff,10068368.83178
PuffOn,10078380.162802
PuffOff,10078880.757193
PuffOn,10088892.161665
PuffOff,10089392.763575
PuffOn,10099405.573521
PuffOff,10099905.675993
PuffOn,10109928.153596
PuffOff,10110428.739639
PuffOn,10120470.693957
PuffOff,10120971.312334
PuffOn,10131055.22873
PuffOff,10131555.850515
PuffOn,10141629.349642
PuffOff,10142129.964317
PuffOn,10152177.856474
PuffOff,10152678.442983
PuffOn,10162684.162703
PuffOff,10163184.742251
PuffOn,10173196.276613
PuffOff,10173696.858903
PuffOn,10183709.227092
PuffOff,10184209.841938
PuffOn,10194221.27064
PuffOff,10194721.892913
