time,position,direction
4293325.630549,0,
4293622.730301,-1,L
4293667.853573,-2,L
4294149.886693,-1,R
4294201.690415,0,R
4294314.856857,1,R
4294350.603738,2,R
4294405.946088,3,R
4294580.373088,2,L
4294850.270581,1,L
4294927.331374,2,R
4295058.618505,3,R
4295243.337564,2,L
4295420.705151,1,L
4295456.23076,0,L
4295760.877015,-1,L
4296004.240934,-2,L
4296093.637261,-3,L
4296166.27752,-4,L
4296388.870143,-5,L
4296614.227266,-6,L
4297017.94939,-7,L
4297667.164028,-8,L
4298183.893081,-9,L
4299048.113057,-10,L
4300689.614353,-11,L
4302086.972276,-12,L
4302338.279782,-13,L
4302395.199089,-14,L
4302536.838189,-15,L
4302563.367032,-16,L
4302583.660675,-17,L
4302602.89334,-18,L
4302623.430941,-19,L
4302647.183751,-20,L
4302679.797817,-21,L
4302715.156084,-22,L
4302740.067481,-23,L
4302760.780893,-24,L
4302782.758703,-25,L
4302811.15073,-26,L
4302843.555763,-27,L
4302912.161305,-26,R
4302948.952524,-25,R
4303093.869296,-24,R
4303203.949327,-25,L
4303309.036853,-24,R
4303365.839942,-23,R
4303430.154335,-22,R
4303570.801385,-23,L
4303651.383804,-24,L
4303729.632217,-25,L
4303859.465647,-26,L
4304388.3994,-27,L
4305610.064144,-26,R
4305638.344711,-25,R
4305751.885584,-26,L
4306260.87934,-27,L
4307773.273228,-28,L
4310282.606784,-29,L
4313965.324136,-30,L
4315223.744667,-29,R
4315251.537361,-28,R
4315362.322778,-29,L
4315426.932107,-30,L
4315537.223776,-31,L
4316125.019605,-32,L
4318820.189281,-33,L
4322459.305271,-32,R
4322470.876937,-31,R
4322480.407091,-30,R
4322489.34659,-29,R
4322499.315161,-28,R
4322511.031213,-27,R
4322523.212052,-26,R
4322534.530224,-25,R
4322545.41385,-24,R
4322556.148793,-23,R
4322566.722166,-22,R
4322578.33285,-21,R
4322594.359646,-20,R
4322629.171477,-19,R
4322655.536096,-18,R
4322673.809271,-17,R
4322687.911552,-16,R
4322699.461885,-15,R
4322709.792263,-14,R
4322719.652391,-13,R
4322729.252673,-12,R
