type,time
video,6610063.811476
PuffOn,6680134.74872
PuffOff,6680635.703494
PuffOn,6690648.192756
PuffOff,6691148.345589
PuffOn,6701244.387533
PuffOff,6701744.99667
PuffOn,6711884.145159
PuffOff,6712384.720568
PuffOn,6722456.15851
PuffOff,6722956.770579
PuffOn,6732984.103496
PuffOff,6733484.690484
PuffOn,6743499.069299
PuffOff,6743999.665354
PuffOn,6754012.224288
PuffOff,6754512.905279
PuffOn,6764528.212331
PuffOff,6765028.79615
PuffOn,6775041.172954
PuffOff,6775541.785135
PuffOn,6785548.183313
PuffOff,6786048.824837
PuffOn,6796060.388835
PuffOff,6796560.955389
PuffOn,6806564.152092
PuffOff,6807064.730082
PuffOn,6817077.004128
PuffOff,6817577.596609
PuffOn,6827580.41103
PuffOff,6828080.990077
PuffOn,6838092.209618
PuffOff,6838592.787489
PuffOn,6848604.807378
PuffOff,6849105.480535
PuffOn,6859117.402333
PuffOff,6859617.97276
PuffOn,6869629.687687
PuffOff,6870130.260678
PuffOn,6880142.572888
PuffOff,6880643.187425
PuffOn,6890654.955389
PuffOff,6891155.643304
PuffOn,6901160.203518
PuffOff,6901660.807109
PuffOn,6911705.980605
PuffOff,6912206.534798
PuffOn,6922338.442593
PuffOff,6922839.127144
PuffOn,6932963.132541
PuffOff,6933463.698194
PuffOn,6943516.234247
PuffOff,6944017.00598
PuffOn,6954030.887478
PuffOff,6954531.497664
PuffOn,6964988.711142
PuffOff,6965489.332744
PuffOn,6975503.411636
PuffOff,6976003.985005
PuffOn,6986016.101768
PuffOff,6986516.72631
PuffOn,6996529.023657
PuffOff,6997029.646077
PuffOn,7007042.436854
PuffOff,7007543.045041
PuffOn,7017555.28346
PuffOff,7018055.915875
PuffOn,7028068.157651
PuffOff,7028568.751202
PuffOn,7038580.866221
PuffOff,7039080.950192
PuffOn,7049092.272532
PuffOff,7049592.366324
PuffOn,7059660.160133
PuffOff,7060160.273894
PuffOn,7070236.268684
PuffOff,7070736.841316
PuffOn,7080836.243517
PuffOff,7081336.824285
PuffOn,7091356.182178
PuffOff,7091856.83621
PuffOn,7101880.705782
PuffOff,7102381.353783
PuffOn,7112396.112825
PuffOff,7112896.750295
PuffOn,7122908.136631
PuffOff,7123408.710848
PuffOn,7133420.227902
PuffOff,7133920.79368
PuffOn,7143928.247348
PuffOff,7144428.856186
PuffOn,7154440.22449
PuffOff,7154940.352024
PuffOn,7164948.154171
PuffOff,7165448.723353
PuffOn,7175461.222311
PuffOff,7175961.852127
