type,time
video,4542540.213037
PuffOn,4612608.141604
PuffOff,4613108.710395
PuffOn,4623352.539104
PuffOff,4623852.699727
PuffOn,4633877.787929
PuffOff,4634378.359967
PuffOn,4644391.94692
PuffOff,4644892.104066
PuffOn,4654951.475195
PuffOff,4655452.120624
PuffOn,4665505.541979
PuffOff,4666006.104309
PuffOn,4676016.276338
PuffOff,4676516.872919
PuffOn,4686529.333629
PuffOff,4687029.940405
PuffOn,4697040.300442
PuffOff,4697541.037078
PuffOn,4707608.677308
PuffOff,4708109.338974
PuffOn,4718225.229791
PuffOff,4718725.926911
PuffOn,4728816.558293
PuffOff,4729317.122072
PuffOn,4739421.398932
PuffOff,4739922.058627
PuffOn,4749935.758634
PuffOff,4750436.341413
PuffOn,4760448.686694
PuffOff,4760948.819377
PuffOn,4771068.287334
PuffOff,4771568.87539
PuffOn,4781597.07345
PuffOff,4782097.990715
PuffOn,4792192.160352
PuffOff,4792692.779166
PuffOn,4802708.215343
PuffOff,4803208.854054
PuffOn,4813226.987935
PuffOff,4813727.139068
PuffOn,4823825.806738
PuffOff,4824325.898232
PuffOn,4834396.197965
PuffOff,4834896.764553
PuffOn,4844952.19906
PuffOff,4845452.814025
PuffOn,4855466.550165
PuffOff,4855967.480541
PuffOn,4865980.172991
PuffOff,4866480.733434
PuffOn,4876536.253554
PuffOff,4877036.941948
PuffOn,4887144.20366
PuffOff,4887644.760766
PuffOn,4897704.202417
PuffOff,4898204.359517
PuffOn,4908220.416786
PuffOff,4908720.980887
PuffOn,4918748.168444
PuffOff,4919248.723127
PuffOn,4929280.240927
PuffOff,4929780.80493
PuffOn,4939904.238854
PuffOff,4940404.851289
PuffOn,4950418.207521
PuffOff,4950920.11802
PuffOn,4960933.742205
PuffOff,4961433.859603
PuffOn,4971508.208045
PuffOff,4972008.871109
PuffOn,4982160.515929
PuffOff,4982661.074075
PuffOn,4992723.18365
PuffOff,4993223.784078
PuffOn,5003236.486339
PuffOff,5003737.044588
PuffOn,5013782.432545
PuffOff,5014283.021318
PuffOn,5024347.010187
PuffOff,5024847.581447
PuffOn,5034860.921638
PuffOff,5035361.500718
PuffOn,5045432.31425
PuffOff,5045932.908576
PuffOn,5056067.764996
PuffOff,5056568.069442
PuffOn,5066580.218808
PuffOff,5067080.804848
PuffOn,5077163.519868
PuffOff,5077664.211263
PuffOn,5087677.813084
PuffOff,5088178.386855
PuffOn,5098192.888019
PuffOff,5098693.481091
PuffOn,5108764.199362
PuffOff,5109264.989992
