time,position,direction
1751541.746926,0,
1751917.41633,1,R
1751940.928003,2,R
1751961.515953,3,R
1751979.479454,4,R
1752004.536219,5,R
1752092.279637,4,L
1752132.193311,3,L
1752208.48137,2,L
1752335.022884,1,L
1752553.418153,0,L
1752938.562459,1,R
1752980.988028,2,R
1753173.570375,3,R
1753249.60653,2,L
1753345.976064,3,R
1753477.703384,4,R
1753502.006139,5,R
1753519.819049,6,R
1753539.275365,7,R
1753584.139108,8,R
1753655.101807,7,L
1753678.819959,6,L
1753698.108665,5,L
1753763.265436,6,R
1753783.774868,7,R
1753803.41407,8,R
1753828.250264,9,R
1753917.989324,8,L
1753974.299407,7,L
1754104.473986,6,L
1754137.501968,5,L
1754199.987327,6,R
1754232.10182,7,R
1754478.036286,6,L
1754615.099577,5,L
1754658.461339,4,L
1754684.038375,3,L
1754844.533803,2,L
1755186.346179,1,L
1755536.36588,2,R
1755747.365037,3,R
1755837.022857,2,L
1756256.746401,1,L
1756656.635265,2,R
1756786.760437,1,L
1756870.911825,0,L
1757400.846158,1,R
1757442.372609,2,R
1757652.494794,1,L
1757957.749176,0,L
1758631.430235,1,R
1758653.787422,2,R
1758674.323373,3,R
1758699.534025,4,R
1758729.45047,5,R
1758836.04447,4,L
1758868.371664,3,L
1758960.317029,4,R
1759079.630279,3,L
1759269.978949,2,L
1759345.510443,3,R
1759454.331804,2,L
1759774.53065,3,R
1759815.975546,4,R
1759841.047644,5,R
1759860.480182,6,R
1759880.45301,7,R
1759921.999701,8,R
1760073.505405,7,L
1760102.061146,6,L
1760164.670336,7,R
1760190.061949,8,R
1760257.28923,7,L
1760308.479414,6,L
1760412.609629,7,R
1760513.378496,6,L
1760575.862799,5,L
1760845.501213,4,L
1761760.210815,5,R
1761924.264568,4,L
1761982.192353,3,L
1762410.10885,4,R
1762460.139622,5,R
1762575.294682,4,L
1762589.64256,3,L
1762632.563012,4,R
1762651.392595,5,R
1762674.352089,6,R
1762776.852584,5,L
1762812.518273,4,L
1763195.833487,3,L
1764857.815086,2,L
1766214.153048,3,R
1766258.644332,4,R
1766286.893428,5,R
1766308.174406,6,R
1766328.082734,7,R
1766390.809367,6,L
1766425.924101,5,L
1766471.625388,4,L
1766518.125037,3,L
1766663.66337,2,L
1767058.39859,1,L
1767521.577427,2,R
1767553.742734,3,R
1767585.563249,4,R
1767675.438528,3,L
1767711.366159,2,L
1767765.240364,1,L
1767933.641655,0,L
1768733.213858,-1,L
1769354.217451,0,R
1769375.977071,1,R
1769398.762827,2,R
1769427.494787,3,R
1769490.853597,2,L
1769513.401597,1,L
1769545.179001,0,L
1769740.084446,-1,L
1770973.909157,-2,L
1772513.082651,-1,R
1772541.003639,0,R
1772613.956202,1,R
1772639.852067,2,R
1772680.431807,3,R
1772747.211908,4,R
1772881.169939,5,R
1772992.523934,4,L
1773022.910244,3,L
1773052.947207,2,L
1773225.050026,1,L
1773609.526481,0,L
