type,time
video,10467177.860137
PuffOn,10537246.49422
PuffOff,10537747.068854
PuffOn,10547896.263244
PuffOff,10548396.881896
PuffOn,10558492.314242
PuffOff,10558993.015634
PuffOn,10569106.949445
PuffOff,10569607.508614
PuffOn,10579706.58843
PuffOff,10580207.29293
PuffOn,10590278.070396
PuffOff,10590778.649822
PuffOn,10600788.157319
PuffOff,10601288.278952
PuffOn,10611300.265293
PuffOff,10611800.954935
PuffOn,10621813.732525
PuffOff,10622314.321572
PuffOn,10632360.184547
PuffOff,10632860.313393
PuffOn,10642897.323229
PuffOff,10643397.960898
PuffOn,10653411.721772
PuffOff,10653912.32042
PuffOn,10663920.23164
PuffOff,10664420.829061
PuffOn,10674432.242909
PuffOff,10674932.883825
PuffOn,10684944.636039
PuffOff,10685444.734828
PuffOn,10695459.369648
PuffOff,10695959.994258
PuffOn,10706009.40187
PuffOff,10706509.534295
PuffOn,10716556.205075
PuffOff,10717056.337866
PuffOn,10727080.300448
PuffOff,10727580.929208
PuffOn,10737615.25606
PuffOff,10738115.892721
PuffOn,10748132.152824
PuffOff,10748632.718868
PuffOn,10758654.696807
PuffOff,10759155.288623
PuffOn,10769184.241192
PuffOff,10769684.422117
PuffOn,10779711.273907
PuffOff,10780211.961837
PuffOn,10790224.163425
PuffOff,10790724.770849
PuffOn,10800728.164935
PuffOff,10801228.7215
PuffOn,10811272.371082
PuffOff,10811772.98325
PuffOn,10821857.119897
PuffOff,10822357.709927
PuffOn,10832407.550875
PuffOff,10832908.109935
PuffOn,10842920.234221
PuffOff,10843420.853568
PuffOn,10853432.221544
PuffOff,10853932.850345
PuffOn,10863944.896861
PuffOff,10864444.979049
PuffOn,10874457.01185
PuffOff,10874957.657985
PuffOn,10884968.253787
PuffOff,10885468.365771
PuffOn,10895479.619713
PuffOff,10895980.237552
PuffOn,10905992.461921
PuffOff,10906493.088695
PuffOn,10916504.451566
PuffOff,10917005.030349
PuffOn,10927016.587096
PuffOff,10927517.184424
PuffOn,10937528.346881
PuffOff,10938028.967551
PuffOn,10948040.506485
PuffOff,10948541.095756
PuffOn,10958552.231821
PuffOff,10959052.821193
PuffOn,10969068.44114
PuffOff,10969569.024964
PuffOn,10979604.21735
PuffOff,10980104.873385
PuffOn,10990120.787954
PuffOff,10990620.953928
PuffOn,11000632.398978
PuffOff,11001132.488664
PuffOn,11011143.772697
PuffOff,11011644.078055
PuffOn,11021652.255917
PuffOff,11022152.848537
PuffOn,11032164.353501
PuffOff,11032665.049034
